,image_name,target_valence,target_arousal,target_stress,video_id,video_name
0,v1-face_0.jpg,0,0,0,v1-face,0.jpg
1,v1-face_1.jpg,0,0,0,v1-face,1.jpg
2,v1-face_2.jpg,0,0,0,v1-face,2.jpg
3,v1-face_3.jpg,0,0,0,v1-face,3.jpg
4,v1-face_4.jpg,0,0,0,v1-face,4.jpg
5,v1-face_5.jpg,0,0,0,v1-face,5.jpg
6,v1-face_6.jpg,0,0,0,v1-face,6.jpg
7,v10-face_0.jpg,0,0,0,v10-face,0.jpg
8,v10-face_1.jpg,0,0,0,v10-face,1.jpg
9,v10-face_2.jpg,0,0,0,v10-face,2.jpg
10,v10-face_3.jpg,0,0,0,v10-face,3.jpg
11,v10-face_4.jpg,0,0,0,v10-face,4.jpg
12,v10-face_5.jpg,0,0,0,v10-face,5.jpg
13,v10-face_6.jpg,0,0,0,v10-face,6.jpg
14,v100-face_0.jpg,0,0,0,v100-face,0.jpg
15,v100-face_1.jpg,0,0,0,v100-face,1.jpg
16,v100-face_2.jpg,0,0,0,v100-face,2.jpg
17,v100-face_3.jpg,0,0,0,v100-face,3.jpg
18,v100-face_4.jpg,0,0,0,v100-face,4.jpg
19,v100-face_5.jpg,0,0,0,v100-face,5.jpg
20,v101-face_0.jpg,0,0,0,v101-face,0.jpg
21,v101-face_1.jpg,0,0,0,v101-face,1.jpg
22,v101-face_2.jpg,0,0,0,v101-face,2.jpg
23,v101-face_3.jpg,0,0,0,v101-face,3.jpg
24,v101-face_4.jpg,0,0,0,v101-face,4.jpg
25,v101-face_5.jpg,0,0,0,v101-face,5.jpg
26,v101-face_6.jpg,0,0,0,v101-face,6.jpg
27,v102-face_0.jpg,0,0,0,v102-face,0.jpg
28,v102-face_1.jpg,0,0,0,v102-face,1.jpg
29,v102-face_2.jpg,0,0,0,v102-face,2.jpg
30,v102-face_3.jpg,0,0,0,v102-face,3.jpg
31,v102-face_4.jpg,0,0,0,v102-face,4.jpg
32,v102-face_5.jpg,0,0,0,v102-face,5.jpg
33,v102-face_6.jpg,0,0,0,v102-face,6.jpg
34,v103-face_0.jpg,0,0,0,v103-face,0.jpg
35,v103-face_1.jpg,0,0,0,v103-face,1.jpg
36,v103-face_2.jpg,0,0,0,v103-face,2.jpg
37,v103-face_3.jpg,0,0,0,v103-face,3.jpg
38,v103-face_4.jpg,0,0,0,v103-face,4.jpg
39,v103-face_5.jpg,0,0,0,v103-face,5.jpg
40,v103-face_6.jpg,0,0,0,v103-face,6.jpg
41,v104-face_0.jpg,0,0,0,v104-face,0.jpg
42,v104-face_1.jpg,0,0,0,v104-face,1.jpg
43,v104-face_2.jpg,0,0,0,v104-face,2.jpg
44,v104-face_3.jpg,0,0,0,v104-face,3.jpg
45,v104-face_4.jpg,0,0,0,v104-face,4.jpg
46,v104-face_5.jpg,0,0,0,v104-face,5.jpg
47,v104-face_6.jpg,0,0,0,v104-face,6.jpg
48,v105-face_0.jpg,0,0,0,v105-face,0.jpg
49,v105-face_1.jpg,0,0,0,v105-face,1.jpg
50,v105-face_2.jpg,0,0,0,v105-face,2.jpg
51,v105-face_3.jpg,0,0,0,v105-face,3.jpg
52,v105-face_4.jpg,0,0,0,v105-face,4.jpg
53,v105-face_5.jpg,0,0,0,v105-face,5.jpg
54,v106-face_0.jpg,0,0,0,v106-face,0.jpg
55,v106-face_1.jpg,0,0,0,v106-face,1.jpg
56,v106-face_2.jpg,0,0,0,v106-face,2.jpg
57,v106-face_3.jpg,0,0,0,v106-face,3.jpg
58,v106-face_4.jpg,0,0,0,v106-face,4.jpg
59,v106-face_5.jpg,0,0,0,v106-face,5.jpg
60,v106-face_6.jpg,0,0,0,v106-face,6.jpg
61,v106-face_7.jpg,0,0,0,v106-face,7.jpg
62,v106-face_8.jpg,0,0,0,v106-face,8.jpg
63,v107-face_0.jpg,0,0,0,v107-face,0.jpg
64,v107-face_1.jpg,0,0,0,v107-face,1.jpg
65,v107-face_2.jpg,0,0,0,v107-face,2.jpg
66,v107-face_3.jpg,0,0,0,v107-face,3.jpg
67,v108-face_0.jpg,0,0,0,v108-face,0.jpg
68,v108-face_1.jpg,0,0,0,v108-face,1.jpg
69,v108-face_2.jpg,0,0,0,v108-face,2.jpg
70,v108-face_3.jpg,0,0,0,v108-face,3.jpg
71,v108-face_4.jpg,0,0,0,v108-face,4.jpg
72,v109-face_0.jpg,0,0,0,v109-face,0.jpg
73,v109-face_1.jpg,0,0,0,v109-face,1.jpg
74,v109-face_2.jpg,0,0,0,v109-face,2.jpg
75,v109-face_3.jpg,0,0,0,v109-face,3.jpg
76,v109-face_4.jpg,0,0,0,v109-face,4.jpg
77,v109-face_5.jpg,0,0,0,v109-face,5.jpg
78,v109-face_6.jpg,0,0,0,v109-face,6.jpg
79,v11-face_0.jpg,0,0,0,v11-face,0.jpg
80,v11-face_1.jpg,0,0,0,v11-face,1.jpg
81,v11-face_2.jpg,0,0,0,v11-face,2.jpg
82,v11-face_3.jpg,0,0,0,v11-face,3.jpg
83,v11-face_4.jpg,0,0,0,v11-face,4.jpg
84,v11-face_5.jpg,0,0,0,v11-face,5.jpg
85,v11-face_6.jpg,0,0,0,v11-face,6.jpg
86,v110-face_0.jpg,0,0,0,v110-face,0.jpg
87,v110-face_1.jpg,0,0,0,v110-face,1.jpg
88,v110-face_2.jpg,0,0,0,v110-face,2.jpg
89,v110-face_3.jpg,0,0,0,v110-face,3.jpg
