video_name,Valence,Arousal,Stress
Val/0637.mp4,4.0,5.6,5.6
Val/0638.mp4,4.1,5.7,5.7
Val/0639.mp4,4.1,5.7,5.7
Val/0640.mp4,4.2,5.8,5.7
Val/0641.mp4,4.1,5.6,5.6
Val/0642.mp4,4.2,5.7,5.7
Val/0643.mp4,4.1,5.7,5.7
Val/0644.mp4,4.2,5.8,5.8
Val/0645.mp4,4.1,5.8,5.7
Val/0646.mp4,4.1,5.7,5.7
Val/0647.mp4,4.1,5.7,5.6
Val/0648.mp4,4.1,5.7,5.7
Val/0649.mp4,4.1,5.7,5.7
Val/0650.mp4,4.1,5.6,5.6
Val/0651.mp4,4.1,5.7,5.6
Val/0652.mp4,4.1,5.7,5.6
Val/0653.mp4,4.1,5.7,5.7
Val/0654.mp4,4.1,5.6,5.6
Val/0655.mp4,4.0,5.7,5.6
Val/0656.mp4,4.1,5.7,5.7
Val/0657.mp4,4.1,5.8,5.7
Val/0658.mp4,4.0,5.7,5.6
Val/0659.mp4,4.1,5.6,5.6
Val/0660.mp4,4.0,5.8,5.6
Val/0661.mp4,4.1,5.6,5.6
Val/0662.mp4,4.1,5.6,5.7
Val/0663.mp4,4.1,5.6,5.6
Val/0664.mp4,4.1,5.7,5.6
Val/0665.mp4,4.0,5.6,5.6
Val/0666.mp4,4.3,5.9,5.8
Val/0667.mp4,4.1,5.7,5.7
Val/0668.mp4,4.0,5.6,5.6
Val/0669.mp4,4.1,5.6,5.6
Val/0670.mp4,4.1,5.6,5.7
Val/0671.mp4,4.1,5.7,5.7
Val/0672.mp4,4.1,5.7,5.7
Val/0673.mp4,4.1,5.7,5.7
Val/0674.mp4,4.1,5.7,5.7
Val/0675.mp4,4.1,5.7,5.7
Val/0676.mp4,4.1,5.7,5.7
Val/0677.mp4,4.1,5.7,5.7
Val/0678.mp4,4.1,5.6,5.6
Val/0679.mp4,4.0,5.6,5.6
Val/0680.mp4,4.1,5.6,5.6
Val/0681.mp4,4.1,5.7,5.7
Val/0682.mp4,4.1,5.7,5.7
Val/0683.mp4,4.1,5.7,5.7
Val/0684.mp4,4.1,5.6,5.6
Val/0685.mp4,4.0,5.6,5.6
Val/0686.mp4,4.1,5.6,5.6
Val/0687.mp4,4.1,5.8,5.8
Val/0688.mp4,4.0,5.6,5.6
Val/0689.mp4,4.1,5.6,5.7
Val/0690.mp4,4.1,5.7,5.7
Val/0691.mp4,4.1,5.7,5.7
Val/0692.mp4,4.0,5.7,5.6
Val/0693.mp4,4.1,5.7,5.7
Val/0694.mp4,4.1,5.6,5.6
Val/0695.mp4,4.1,5.7,5.7
Val/0696.mp4,4.0,5.6,5.6
Val/0697.mp4,4.1,5.7,5.7
Val/0698.mp4,4.0,5.6,5.6
Val/0699.mp4,4.0,5.6,5.6
Val/0700.mp4,4.1,5.7,5.7
Val/0701.mp4,4.1,5.7,5.7
Val/0702.mp4,4.1,5.7,5.7
Val/0703.mp4,4.1,5.6,5.6
